episode_index,category,suite,source_file,length,task
40,camera_pose,libero_spatial,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate_demo.hdf5,98,pick up the black bowl on the ramekin and place it on the plate
41,lighting,libero_10,LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate_demo.hdf5,246,put the white mug on the plate and put the chocolate pudding to the right of the plate
42,lighting,libero_goal,put_the_wine_bottle_on_the_rack_demo.hdf5,167,put the wine bottle on the rack
43,env,libero_object,pick_up_the_butter_and_place_it_in_the_basket_demo.hdf5,149,pick up the butter and place it in the basket
44,camera_pose,libero_10,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it_demo.hdf5,301,turn on the stove and put the moka pot on it
45,sensor_noise,libero_goal,put_the_bowl_on_the_stove_demo.hdf5,98,put the bowl on the stove
46,env,libero_object,pick_up_the_milk_and_place_it_in_the_basket_demo.hdf5,131,pick up the milk and place it in the basket
47,env,libero_spatial,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate_demo.hdf5,134,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate
48,lighting,libero_10,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it_demo.hdf5,217,put the black bowl in the bottom drawer of the cabinet and close it
49,lighting,libero_10,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it_demo.hdf5,449,put the yellow and white mug in the microwave and close it
50,language,libero_10,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it_demo.hdf5,272,turn on the stove and put the moka pot on it
51,camera_pose,libero_spatial,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5,111,pick up the black bowl from table center and place it on the plate
52,env,libero_10,LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate_demo.hdf5,246,put the white mug on the plate and put the chocolate pudding to the right of the plate
53,language,libero_goal,turn_on_the_stove_demo.hdf5,91,turn on the stove
54,camera_pose,libero_object,pick_up_the_ketchup_and_place_it_in_the_basket_demo.hdf5,157,pick up the ketchup and place it in the basket
55,lighting,libero_goal,open_the_middle_drawer_of_the_cabinet_demo.hdf5,136,open the middle drawer of the cabinet
56,env,libero_goal,put_the_cream_cheese_in_the_bowl_demo.hdf5,96,put the cream cheese in the bowl
57,sensor_noise,libero_10,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it_demo.hdf5,323,turn on the stove and put the moka pot on it
58,env,libero_object,pick_up_the_milk_and_place_it_in_the_basket_demo.hdf5,135,pick up the milk and place it in the basket
59,camera_pose,libero_object,pick_up_the_cream_cheese_and_place_it_in_the_basket_demo.hdf5,187,pick up the cream cheese and place it in the basket
60,sensor_noise,libero_goal,put_the_wine_bottle_on_top_of_the_cabinet_demo.hdf5,128,put the wine bottle on top of the cabinet
61,language,libero_object,pick_up_the_milk_and_place_it_in_the_basket_demo.hdf5,161,pick up the milk and place it in the basket
62,lighting,libero_spatial,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate_demo.hdf5,122,pick up the black bowl next to the cookie box and place it on the plate
63,sensor_noise,libero_object,pick_up_the_cream_cheese_and_place_it_in_the_basket_demo.hdf5,147,pick up the cream cheese and place it in the basket
64,env,libero_goal,put_the_bowl_on_the_stove_demo.hdf5,95,put the bowl on the stove
65,language,libero_spatial,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate_demo.hdf5,123,pick up the black bowl next to the plate and place it on the plate
66,sensor_noise,libero_object,pick_up_the_milk_and_place_it_in_the_basket_demo.hdf5,135,pick up the milk and place it in the basket
67,lighting,libero_goal,open_the_top_drawer_and_put_the_bowl_inside_demo.hdf5,177,open the top drawer and put the bowl inside
68,env,libero_spatial,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate_demo.hdf5,120,pick up the black bowl on the ramekin and place it on the plate
69,sensor_noise,libero_object,pick_up_the_bbq_sauce_and_place_it_in_the_basket_demo.hdf5,221,pick up the bbq sauce and place it in the basket
70,camera_pose,libero_goal,put_the_bowl_on_the_plate_demo.hdf5,90,put the bowl on the plate
71,env,libero_goal,turn_on_the_stove_demo.hdf5,92,turn on the stove
72,language,libero_spatial,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,92,pick up the black bowl between the plate and the ramekin and place it on the plate
73,sensor_noise,libero_goal,open_the_top_drawer_and_put_the_bowl_inside_demo.hdf5,183,open the top drawer and put the bowl inside
74,sensor_noise,libero_object,pick_up_the_tomato_sauce_and_place_it_in_the_basket_demo.hdf5,132,pick up the tomato sauce and place it in the basket
75,camera_pose,libero_10,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket_demo.hdf5,241,put both the cream cheese box and the butter in the basket
76,lighting,libero_spatial,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate_demo.hdf5,149,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate
77,lighting,libero_goal,put_the_bowl_on_the_stove_demo.hdf5,90,put the bowl on the stove
78,lighting,libero_spatial,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate_demo.hdf5,112,pick up the black bowl on the ramekin and place it on the plate
79,env,libero_goal,open_the_middle_drawer_of_the_cabinet_demo.hdf5,141,open the middle drawer of the cabinet
80,env,libero_object,pick_up_the_bbq_sauce_and_place_it_in_the_basket_demo.hdf5,221,pick up the bbq sauce and place it in the basket
81,camera_pose,libero_10,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it_demo.hdf5,261,turn on the stove and put the moka pot on it
82,camera_pose,libero_10,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove_demo.hdf5,388,put both moka pots on the stove
83,lighting,libero_spatial,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5,125,pick up the black bowl from table center and place it on the plate
84,env,libero_object,pick_up_the_orange_juice_and_place_it_in_the_basket_demo.hdf5,144,pick up the orange juice and place it in the basket
85,lighting,libero_spatial,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate_demo.hdf5,142,pick up the black bowl on the ramekin and place it on the plate
86,language,libero_goal,turn_on_the_stove_demo.hdf5,119,turn on the stove
87,lighting,libero_10,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket_demo.hdf5,285,put both the alphabet soup and the cream cheese box in the basket
88,env,libero_goal,turn_on_the_stove_demo.hdf5,96,turn on the stove
89,sensor_noise,libero_goal,put_the_bowl_on_the_plate_demo.hdf5,87,put the bowl on the plate
90,env,libero_object,pick_up_the_bbq_sauce_and_place_it_in_the_basket_demo.hdf5,132,pick up the bbq sauce and place it in the basket
91,sensor_noise,libero_spatial,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5,109,pick up the black bowl from table center and place it on the plate
92,lighting,libero_10,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket_demo.hdf5,258,put both the alphabet soup and the cream cheese box in the basket
93,lighting,libero_spatial,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate_demo.hdf5,129,pick up the black bowl on the stove and place it on the plate
94,lighting,libero_spatial,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_demo.hdf5,101,pick up the black bowl on the cookie box and place it on the plate
95,lighting,libero_object,pick_up_the_milk_and_place_it_in_the_basket_demo.hdf5,141,pick up the milk and place it in the basket
96,env,libero_spatial,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate_demo.hdf5,110,pick up the black bowl next to the plate and place it on the plate
97,env,libero_object,pick_up_the_tomato_sauce_and_place_it_in_the_basket_demo.hdf5,137,pick up the tomato sauce and place it in the basket
98,sensor_noise,libero_object,pick_up_the_tomato_sauce_and_place_it_in_the_basket_demo.hdf5,165,pick up the tomato sauce and place it in the basket
99,language,libero_spatial,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_demo.hdf5,113,pick up the black bowl next to the ramekin and place it on the plate
100,sensor_noise,libero_spatial,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate_demo.hdf5,158,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate
101,lighting,libero_10,LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate_demo.hdf5,292,put the white mug on the left plate and put the yellow and white mug on the right plate
102,language,libero_10,LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate_demo.hdf5,279,put the white mug on the left plate and put the yellow and white mug on the right plate
103,sensor_noise,libero_spatial,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate_demo.hdf5,141,pick up the black bowl next to the cookie box and place it on the plate
104,language,libero_goal,open_the_top_drawer_and_put_the_bowl_inside_demo.hdf5,199,open the top drawer and put the bowl inside
105,lighting,libero_goal,open_the_middle_drawer_of_the_cabinet_demo.hdf5,160,open the middle drawer of the cabinet
106,camera_pose,libero_spatial,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate_demo.hdf5,120,pick up the black bowl next to the cookie box and place it on the plate
107,language,libero_10,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it_demo.hdf5,261,put the black bowl in the bottom drawer of the cabinet and close it
108,lighting,libero_spatial,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_demo.hdf5,145,pick up the black bowl next to the ramekin and place it on the plate
109,camera_pose,libero_object,pick_up_the_milk_and_place_it_in_the_basket_demo.hdf5,161,pick up the milk and place it in the basket
110,env,libero_spatial,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate_demo.hdf5,125,pick up the black bowl next to the cookie box and place it on the plate
111,env,libero_object,pick_up_the_salad_dressing_and_place_it_in_the_basket_demo.hdf5,124,pick up the salad dressing and place it in the basket
112,sensor_noise,libero_object,pick_up_the_ketchup_and_place_it_in_the_basket_demo.hdf5,219,pick up the ketchup and place it in the basket
113,language,libero_object,pick_up_the_salad_dressing_and_place_it_in_the_basket_demo.hdf5,124,pick up the salad dressing and place it in the basket
114,language,libero_goal,turn_on_the_stove_demo.hdf5,88,turn on the stove
115,sensor_noise,libero_goal,put_the_cream_cheese_in_the_bowl_demo.hdf5,109,put the cream cheese in the bowl
116,lighting,libero_goal,put_the_bowl_on_the_plate_demo.hdf5,94,put the bowl on the plate
117,language,libero_spatial,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate_demo.hdf5,97,pick up the black bowl next to the plate and place it on the plate
118,env,libero_spatial,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_demo.hdf5,96,pick up the black bowl on the cookie box and place it on the plate
119,language,libero_goal,push_the_plate_to_the_front_of_the_stove_demo.hdf5,135,push the plate to the front of the stove
120,language,libero_goal,put_the_wine_bottle_on_top_of_the_cabinet_demo.hdf5,106,put the wine bottle on top of the cabinet
121,language,libero_goal,push_the_plate_to_the_front_of_the_stove_demo.hdf5,125,push the plate to the front of the stove
122,camera_pose,libero_object,pick_up_the_tomato_sauce_and_place_it_in_the_basket_demo.hdf5,140,pick up the tomato sauce and place it in the basket
123,camera_pose,libero_object,pick_up_the_butter_and_place_it_in_the_basket_demo.hdf5,173,pick up the butter and place it in the basket
124,env,libero_object,pick_up_the_orange_juice_and_place_it_in_the_basket_demo.hdf5,128,pick up the orange juice and place it in the basket
125,camera_pose,libero_spatial,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate_demo.hdf5,157,pick up the black bowl next to the cookie box and place it on the plate
126,camera_pose,libero_10,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it_demo.hdf5,301,turn on the stove and put the moka pot on it
127,env,libero_spatial,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate_demo.hdf5,125,pick up the black bowl next to the plate and place it on the plate
128,language,libero_10,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket_demo.hdf5,367,put both the alphabet soup and the tomato sauce in the basket
129,lighting,libero_spatial,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5,108,pick up the black bowl from table center and place it on the plate
130,language,libero_object,pick_up_the_chocolate_pudding_and_place_it_in_the_basket_demo.hdf5,157,pick up the chocolate pudding and place it in the basket
131,env,libero_spatial,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate_demo.hdf5,152,pick up the black bowl next to the cookie box and place it on the plate
132,env,libero_spatial,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate_demo.hdf5,137,pick up the black bowl next to the cookie box and place it on the plate
133,language,libero_object,pick_up_the_alphabet_soup_and_place_it_in_the_basket_demo.hdf5,152,pick up the alphabet soup and place it in the basket
134,camera_pose,libero_object,pick_up_the_bbq_sauce_and_place_it_in_the_basket_demo.hdf5,170,pick up the bbq sauce and place it in the basket
135,camera_pose,libero_object,pick_up_the_ketchup_and_place_it_in_the_basket_demo.hdf5,164,pick up the ketchup and place it in the basket
136,language,libero_10,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it_demo.hdf5,323,turn on the stove and put the moka pot on it
137,camera_pose,libero_spatial,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate_demo.hdf5,120,pick up the black bowl next to the plate and place it on the plate
138,lighting,libero_goal,put_the_bowl_on_top_of_the_cabinet_demo.hdf5,123,put the bowl on top of the cabinet
139,env,libero_goal,turn_on_the_stove_demo.hdf5,90,turn on the stove
140,lighting,libero_object,pick_up_the_cream_cheese_and_place_it_in_the_basket_demo.hdf5,126,pick up the cream cheese and place it in the basket
141,camera_pose,libero_10,LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket_demo.hdf5,236,put both the alphabet soup and the cream cheese box in the basket
142,env,libero_spatial,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,90,pick up the black bowl between the plate and the ramekin and place it on the plate
143,env,libero_spatial,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5,109,pick up the black bowl from table center and place it on the plate
144,camera_pose,libero_object,pick_up_the_orange_juice_and_place_it_in_the_basket_demo.hdf5,131,pick up the orange juice and place it in the basket
145,env,libero_goal,put_the_bowl_on_the_stove_demo.hdf5,102,put the bowl on the stove
146,lighting,libero_object,pick_up_the_orange_juice_and_place_it_in_the_basket_demo.hdf5,201,pick up the orange juice and place it in the basket
147,language,libero_spatial,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate_demo.hdf5,144,pick up the black bowl on the stove and place it on the plate
148,camera_pose,libero_10,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket_demo.hdf5,288,put both the alphabet soup and the tomato sauce in the basket
149,env,libero_object,pick_up_the_tomato_sauce_and_place_it_in_the_basket_demo.hdf5,142,pick up the tomato sauce and place it in the basket
150,env,libero_object,pick_up_the_alphabet_soup_and_place_it_in_the_basket_demo.hdf5,155,pick up the alphabet soup and place it in the basket
151,env,libero_goal,open_the_middle_drawer_of_the_cabinet_demo.hdf5,125,open the middle drawer of the cabinet
152,env,libero_object,pick_up_the_bbq_sauce_and_place_it_in_the_basket_demo.hdf5,131,pick up the bbq sauce and place it in the basket
153,language,libero_object,pick_up_the_milk_and_place_it_in_the_basket_demo.hdf5,132,pick up the milk and place it in the basket
154,sensor_noise,libero_spatial,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate_demo.hdf5,135,pick up the black bowl on the stove and place it on the plate
155,camera_pose,libero_10,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket_demo.hdf5,272,put both the cream cheese box and the butter in the basket
156,camera_pose,libero_10,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket_demo.hdf5,312,put both the alphabet soup and the tomato sauce in the basket
157,env,libero_goal,put_the_bowl_on_top_of_the_cabinet_demo.hdf5,108,put the bowl on top of the cabinet
158,sensor_noise,libero_spatial,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,134,pick up the black bowl between the plate and the ramekin and place it on the plate
159,lighting,libero_spatial,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate_demo.hdf5,135,pick up the black bowl next to the ramekin and place it on the plate
160,sensor_noise,libero_spatial,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_demo.hdf5,92,pick up the black bowl on the cookie box and place it on the plate
161,camera_pose,libero_spatial,pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate_demo.hdf5,138,pick up the black bowl on the wooden cabinet and place it on the plate
162,sensor_noise,libero_spatial,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate_demo.hdf5,102,pick up the black bowl on the ramekin and place it on the plate
163,lighting,libero_10,LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate_demo.hdf5,278,put the white mug on the plate and put the chocolate pudding to the right of the plate
164,lighting,libero_spatial,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate_demo.hdf5,105,pick up the black bowl from table center and place it on the plate
165,language,libero_spatial,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate_demo.hdf5,164,pick up the black bowl on the stove and place it on the plate
166,lighting,libero_goal,put_the_bowl_on_the_plate_demo.hdf5,80,put the bowl on the plate
167,sensor_noise,libero_spatial,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate_demo.hdf5,113,pick up the black bowl on the ramekin and place it on the plate
168,language,libero_object,pick_up_the_chocolate_pudding_and_place_it_in_the_basket_demo.hdf5,150,pick up the chocolate pudding and place it in the basket
169,sensor_noise,libero_goal,open_the_middle_drawer_of_the_cabinet_demo.hdf5,140,open the middle drawer of the cabinet
170,env,libero_spatial,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate_demo.hdf5,100,pick up the black bowl between the plate and the ramekin and place it on the plate
171,language,libero_spatial,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate_demo.hdf5,150,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate
172,env,libero_10,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove_demo.hdf5,388,put both moka pots on the stove
173,sensor_noise,libero_spatial,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate_demo.hdf5,97,pick up the black bowl next to the plate and place it on the plate
174,sensor_noise,libero_goal,put_the_cream_cheese_in_the_bowl_demo.hdf5,103,put the cream cheese in the bowl
175,camera_pose,libero_10,LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate_demo.hdf5,233,put the white mug on the left plate and put the yellow and white mug on the right plate
176,camera_pose,libero_10,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it_demo.hdf5,275,turn on the stove and put the moka pot on it
177,lighting,libero_object,pick_up_the_bbq_sauce_and_place_it_in_the_basket_demo.hdf5,135,pick up the bbq sauce and place it in the basket
178,sensor_noise,libero_object,pick_up_the_alphabet_soup_and_place_it_in_the_basket_demo.hdf5,153,pick up the alphabet soup and place it in the basket
179,env,libero_goal,put_the_bowl_on_the_plate_demo.hdf5,97,put the bowl on the plate
180,lighting,libero_goal,push_the_plate_to_the_front_of_the_stove_demo.hdf5,167,push the plate to the front of the stove
181,env,libero_spatial,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate_demo.hdf5,130,pick up the black bowl on the stove and place it on the plate
182,sensor_noise,libero_goal,put_the_cream_cheese_in_the_bowl_demo.hdf5,95,put the cream cheese in the bowl
183,lighting,libero_10,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it_demo.hdf5,229,put the black bowl in the bottom drawer of the cabinet and close it
184,lighting,libero_goal,put_the_wine_bottle_on_top_of_the_cabinet_demo.hdf5,90,put the wine bottle on top of the cabinet
185,env,libero_10,LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate_demo.hdf5,286,put the white mug on the left plate and put the yellow and white mug on the right plate
186,lighting,libero_spatial,pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate_demo.hdf5,136,pick up the black bowl on the wooden cabinet and place it on the plate
187,env,libero_goal,put_the_bowl_on_top_of_the_cabinet_demo.hdf5,98,put the bowl on top of the cabinet
188,sensor_noise,libero_object,pick_up_the_milk_and_place_it_in_the_basket_demo.hdf5,127,pick up the milk and place it in the basket
189,sensor_noise,libero_goal,turn_on_the_stove_demo.hdf5,99,turn on the stove
190,lighting,libero_object,pick_up_the_salad_dressing_and_place_it_in_the_basket_demo.hdf5,125,pick up the salad dressing and place it in the basket
191,language,libero_spatial,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate_demo.hdf5,182,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate
192,sensor_noise,libero_spatial,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate_demo.hdf5,96,pick up the black bowl on the cookie box and place it on the plate
